"gamedate","year","season","gametype","team1","r1_before","score1","score2","team2","r2_before","E1","delta"
"2007-09-22",2007,"秋","東京六大学","慶應",1596.7577877033284,4,4,"明治",1626.8367778902277,0.4614122257305786,1.9293887134710697
"2007-09-22",2007,"秋","東京六大学","法政",1448.3374161501793,2,2,"早稲田",1736.3529952748536,0.18516219169218553,15.741890415390724
"2007-09-23",2007,"秋","東京六大学","早稲田",1720.6111048594628,1,2,"法政",1464.07930656557,0.7904601608817138,-28.986578568034183
"2007-09-23",2007,"秋","東京六大学","明治",1624.9073891767566,0,1,"慶應",1598.6871764167995,0.5338557356930517,-16.156357308601077
"2007-09-24",2007,"秋","東京六大学","慶應",1614.8435337254007,2,2,"明治",1608.7510318681555,0.5079232850127314,-0.39616425063657146
"2007-09-24",2007,"秋","東京六大学","法政",1493.0658851336043,3,8,"早稲田",1691.6245262914285,0.26240110593474153,-10.305129022892325
"2007-09-25",2007,"秋","東京六大学","早稲田",1701.9296553143208,9,1,"法政",1482.760756110712,0.7589631503469074,11.207046383181464
"2007-09-25",2007,"秋","東京六大学","明治",1609.147196118792,2,4,"慶應",1614.4473694747642,0.49306937352420926,-16.68940215604771
"2007-09-29",2007,"秋","東京六大学","慶應",1631.1367716308118,5,2,"東大",1115.6414230636603,0.9354703012785177,-2.5680289756547237
"2007-09-29",2007,"秋","東京六大学","早稲田",1713.1367016975023,3,2,"立教",1476.073599917751,0.7751647652141788,0.7053322632395553
"2007-10-01",2007,"秋","東京六大学","東大",1118.209452039315,0,1,"慶應",1628.5687426551572,0.0652461722201187,7.274120865045572
"2007-10-01",2007,"秋","東京六大学","立教",1475.3682676545113,1,8,"早稲田",1713.842033960742,0.22241448612941578,-9.84665286070222
"2007-10-06",2007,"秋","東京六大学","法政",1471.5537097275305,5,0,"東大",1125.4835729043605,0.8584606838303238,4.262039534639056
"2007-10-06",2007,"秋","東京六大学","立教",1465.521614793809,0,3,"明治",1592.4577939627443,0.3396991330234692,-11.190442739444624
"2007-10-07",2007,"秋","東京六大学","明治",1603.648236702189,7,3,"立教",1454.3311720543643,0.6869375792543138,11.566093548429901
"2007-10-07",2007,"秋","東京六大学","東大",1121.2215333697213,0,11,"法政",1475.8157492621697,0.13506060228191186,-6.513335948813091
"2007-10-13",2007,"秋","東京六大学","慶應",1621.2946217901117,2,7,"法政",1482.3290852109828,0.6767127156290572,-31.020709507608114
