"gamedate","gametype","team1","score1","score2","team2"
"2004-04-05","東都3部","東京科学大学",3,2,"成蹊大学"
"2004-04-06","東都1部","青山学院大学",1,4,"中央大学"
"2004-04-06","東都1部","駒澤大学",7,11,"亜細亜大学"
"2004-04-07","東都1部","中央大学",3,14,"青山学院大学"
"2004-04-07","東都1部","亜細亜大学",6,6,"駒澤大学"
"2004-04-07","東都2部","國學院大學",5,2,"国士舘大学"
"2004-04-07","東都2部","拓殖大学",4,8,"専修大学"
"2004-04-07","東都4部","東京都市大学",5,17,"学習院大学"
"2004-04-08","東都1部","亜細亜大学",5,1,"駒澤大学"
"2004-04-08","東都1部","青山学院大学",3,4,"中央大学"
"2004-04-09","東都2部","国士舘大学",5,0,"國學院大學"
"2004-04-09","東都2部","国士舘大学",0,5,"國學院大學"
"2004-04-09","東都2部","専修大学",2,0,"拓殖大学"
"2004-04-10","東都3部","芝浦工業大学",1,0,"東京科学大学"
"2004-04-10","東都3部","順天堂大学",2,3,"上智大学"
"2004-04-11","東都3部","上智大学",0,2,"順天堂大学"
"2004-04-11","東都3部","東京科学大学",1,4,"芝浦工業大学"
"2004-04-11","東都4部","一橋大学",6,2,"東京都市大学"
"2004-04-11","東都4部","東京都市大学",3,22,"一橋大学"
"2004-04-12","東都2部","東京農業大学",9,4,"専修大学"
"2004-04-12","東都2部","立正大学",2,1,"国士舘大学"
"2004-04-12","東都3部","順天堂大学",1,0,"上智大学"
"2004-04-13","東都1部","日本大学",1,0,"中央大学"
"2004-04-13","東都1部","東洋大学",6,3,"亜細亜大学"
"2004-04-13","東都2部","国士舘大学",1,0,"立正大学"
