"gamedate","gametype","team1","score1","score2","team2"
"2002-06-02","東京六大学","東大",1,9,"立教"
"2002-06-02","東京六大学","法政",19,1,"東大"
"2002-06-02","東京六大学","法政",2,5,"早稲田"
"2002-06-02","東京六大学","法政",4,1,"早稲田"
"2002-06-02","東京六大学","法政",1,3,"立教"
"2002-06-02","東京六大学","法政",0,2,"慶應"
"2002-06-02","東京六大学","法政",9,7,"明治"
"2002-06-02","東京六大学","立教",3,9,"早稲田"
"2002-06-02","東京六大学","立教",4,1,"明治"
"2002-06-02","東京六大学","立教",0,3,"明治"
"2002-06-02","東京六大学","立教",0,7,"慶應"
"2002-06-02","東京六大学","立教",5,3,"慶應"
"2002-06-02","東京六大学","立教",2,1,"法政"
"2002-06-02","東京六大学","立教",4,0,"東大"
"2002-09-14","東京六大学","明治",2,0,"慶應"
"2002-09-14","東京六大学","東大",0,16,"早稲田"
"2002-09-15","東京六大学","慶應",1,3,"明治"
"2002-09-15","東京六大学","早稲田",9,2,"東大"
"2002-09-21","東京六大学","東大",2,1,"立教"
"2002-09-21","東京六大学","法政",1,2,"明治"
"2002-09-22","東京六大学","明治",2,2,"法政"
"2002-09-22","東京六大学","立教",14,4,"東大"
"2002-09-23","東京六大学","東大",2,1,"立教"
"2002-09-23","東京六大学","法政",4,5,"明治"
"2002-09-29","東京六大学","慶應",5,6,"立教"
"2002-09-29","東京六大学","早稲田",0,1,"法政"
"2002-09-30","東京六大学","法政",2,7,"早稲田"
"2002-10-02","東京六大学","早稲田",1,2,"法政"
"2002-10-02","東京六大学","立教",2,0,"慶應"
"2002-10-05","東京六大学","慶應",11,0,"東大"
"2002-10-05","東京六大学","早稲田",7,0,"明治"
"2002-10-06","東京六大学","明治",2,6,"早稲田"
"2002-10-06","東京六大学","東大",1,4,"慶應"
"2002-10-12","東京六大学","東大",1,11,"法政"
"2002-10-12","東京六大学","立教",5,2,"明治"
"2002-10-13","東京六大学","明治",3,1,"立教"
